Method,Parameter Types,Param Sizes,Total Param Size
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.requiredGlobalPermissionActions(): java.util.List,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setBean(org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean): void,['org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean'],[48],48
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setBulkDeleteCount(int): void,['int'],[16],16
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setFirstComment(org.apache.roller.weblogger.pojos.WeblogEntryComment): void,['org.apache.roller.weblogger.pojos.WeblogEntryComment'],[72],72
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setLastComment(org.apache.roller.weblogger.pojos.WeblogEntryComment): void,['org.apache.roller.weblogger.pojos.WeblogEntryComment'],[72],72
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setPager(org.apache.roller.weblogger.ui.struts2.pagers.CommentsPager): void,['org.apache.roller.weblogger.ui.struts2.pagers.CommentsPager'],[16],16
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.setServletRequest(javax.servlet.http.HttpServletRequest): void,['javax.servlet.http.HttpServletRequest'],[64],64
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.static {},[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagement.update(): java.lang.String,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.GlobalCommentManagementBean(),[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$preClinit(): void,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_0,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_1,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_10,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_11,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_12,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_13,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_14,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_15,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_16,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_17,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_18,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_19,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_2,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_20,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_21,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_22,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_23,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_3,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_4,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_5,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_6,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_7,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_8,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.ajc$tjp_9,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.approvedString,[],[],0
org.apache.roller.weblogger.ui.struts2.admin.GlobalCommentManagementBean.deleteComments,[],[],0
