Method,Parameter Types,Param Sizes,Total Param Size
org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product): void,['org.mybatis.jpetstore.domain.Product'],[64],64
org.mybatis.jpetstore.domain.Item.setQuantity(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.Item.setSupplierId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.Item.status,[],[],0
org.mybatis.jpetstore.domain.Item.supplierId,[],[],0
org.mybatis.jpetstore.domain.Item.toString(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Item.unitCost,[],[],0
org.mybatis.jpetstore.domain.LineItem.LineItem(),[],[],0
"org.mybatis.jpetstore.domain.LineItem.LineItem(int, org.mybatis.jpetstore.domain.CartItem)","['int', 'org.mybatis.jpetstore.domain.CartItem']","[16, 64]",80
org.mybatis.jpetstore.domain.LineItem.calculateTotal(): void,[],[],0
org.mybatis.jpetstore.domain.LineItem.getItem(): org.mybatis.jpetstore.domain.Item,[],[],0
org.mybatis.jpetstore.domain.LineItem.getItemId(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.LineItem.getLineNumber(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getOrderId(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getQuantity(): int,[],[],0
org.mybatis.jpetstore.domain.LineItem.getTotal(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.LineItem.getUnitPrice(): java.math.BigDecimal,[],[],0
org.mybatis.jpetstore.domain.LineItem.item,[],[],0
org.mybatis.jpetstore.domain.LineItem.itemId,[],[],0
org.mybatis.jpetstore.domain.LineItem.lambda$1(java.math.BigDecimal): java.math.BigDecimal,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.LineItem.lineNumber,[],[],0
org.mybatis.jpetstore.domain.LineItem.orderId,[],[],0
org.mybatis.jpetstore.domain.LineItem.quantity,[],[],0
org.mybatis.jpetstore.domain.LineItem.serialVersionUID,[],[],0
org.mybatis.jpetstore.domain.LineItem.setItem(org.mybatis.jpetstore.domain.Item): void,['org.mybatis.jpetstore.domain.Item'],[64],64
org.mybatis.jpetstore.domain.LineItem.setItemId(java.lang.String): void,['java.lang.String'],[24],24
org.mybatis.jpetstore.domain.LineItem.setLineNumber(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setOrderId(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setQuantity(int): void,['int'],[16],16
org.mybatis.jpetstore.domain.LineItem.setUnitPrice(java.math.BigDecimal): void,['java.math.BigDecimal'],[16],16
org.mybatis.jpetstore.domain.LineItem.total,[],[],0
org.mybatis.jpetstore.domain.LineItem.unitPrice,[],[],0
org.mybatis.jpetstore.domain.Order.Order(),[],[],0
org.mybatis.jpetstore.domain.Order.addLineItem(org.mybatis.jpetstore.domain.CartItem): void,['org.mybatis.jpetstore.domain.CartItem'],[64],64
org.mybatis.jpetstore.domain.Order.addLineItem(org.mybatis.jpetstore.domain.LineItem): void,['org.mybatis.jpetstore.domain.LineItem'],[64],64
org.mybatis.jpetstore.domain.Order.billAddress1,[],[],0
org.mybatis.jpetstore.domain.Order.billAddress2,[],[],0
org.mybatis.jpetstore.domain.Order.billCity,[],[],0
org.mybatis.jpetstore.domain.Order.billCountry,[],[],0
org.mybatis.jpetstore.domain.Order.billState,[],[],0
org.mybatis.jpetstore.domain.Order.billToFirstName,[],[],0
org.mybatis.jpetstore.domain.Order.billToLastName,[],[],0
org.mybatis.jpetstore.domain.Order.billZip,[],[],0
org.mybatis.jpetstore.domain.Order.cardType,[],[],0
org.mybatis.jpetstore.domain.Order.courier,[],[],0
org.mybatis.jpetstore.domain.Order.creditCard,[],[],0
org.mybatis.jpetstore.domain.Order.expiryDate,[],[],0
org.mybatis.jpetstore.domain.Order.getBillAddress1(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillAddress2(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillCity(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillCountry(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillState(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillToFirstName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillToLastName(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getBillZip(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getCardType(): java.lang.String,[],[],0
org.mybatis.jpetstore.domain.Order.getCourier(): java.lang.String,[],[],0
